Customer Name  ,Channel ,Distributed Before,Address,Link to Google Maps
ekosfere Bakery & Coffee,Store,No,766 Lydig Ave,-2146826259
Metfresh Of Morris Park,Store,No,775 Morris Park Ave, Bronx, NY 10462,-2146826259
Lydig Gourment Deli,Store,No,798 Lydig Ave, Bronx, NY 10462,-2146826259
Empire state deli,Store,No,804 Burke Ave,-2146826259
Afa Market,Store,No,809 Lydig Ave,-2146826259
New European Market,Store,No,810 Morris Park Ave, Bronx, NY 10462,-2146826259
Alfakhamah Market,Store,No,855 Morris Park Ave, Bronx, NY 10462,-2146826259
Meat Market,Store,No,869 Morris Park Ave,-2146826259
Lucky 4 Deli,Store,No,900 Allerton Ave,-2146826259
Salam Deli,Store,No,939 Morris Park Ave, Bronx, NY 10462,-2146826259
JSR Deli,Store,No,994 Morris Park Ave, Bronx, NY 10462,-2146826259
Albanian Market,Store,No,3043 Buhre Ave,-2146826259
Katonah Family Deli Grocery,Store,No,4293 Katonah Ave,-2146826259
Fordham Convenience,Store,No,85 W Fordham Rd,-2146826259
Coffee Unique,Store,No,69 Pondfield Rd,-2146826259
Metropolitan European Food,Store,No,118-29 Metropolitan Ave, Kew Gardens, NY 11415,-2146826259
Daniel's European Market,Store,No,152 Norman Ave, Brooklyn, NY 11222,-2146826259
Cardak,Store,No,2301 65th St,-2146826259
Si n'shpi,Store,No,2307 65th St,-2146826259
Iliria Food's,Store,No,2323 65th St,,-2146826259
Arberia,Store,No,2325 65th St,-2146826259
Antonio's Pizza,Store,No,318 Flatbush Ave,-2146826259
The Skyline Gourmet,Store,No,64 Willoughby St,-2146826259
Karzinka Corp,Store,No,6629 Bay Pkwy,-2146826259
European Delicatessen,Store,No,75-26 Metropolitan Ave, Middle Village, NY 11379,-2146826259
Gino's Pizzeria,Store,No,831 Flatbush Ave,-2146826259
Vulajio's Restaurant,Store,No,2593 NY-52,-2146826259
Beer & Smoke convenience,Store,No,1058 E Jericho Turnpike,-2146826259
The Beer Store of Long Island,Store,No,1426 Montauk Hwy,-2146826259
Rumcajs Polish Deli,Store,No,441 US-6,-2146826259
GIONNIS EURO MARKET & BUREK,Store,No,45 Secor Rd,-2146826259
Mike & Joe's Wood Fired Pizza & Pasta,Store,No,944 US-6,-2146826259
Smoke Shop & Convenience Store,Store,No,1140 1st Ave,-2146826259
Uncle Vini's,Store,No,1140 First Ave,-2146826259
Famous Famiglia Pizza,Store,No,1248 Lexington Ave #2012,-2146826259
Famous Famiglia Pizza,Store,No,1284 1st Ave,-2146826259
East Side Market,Store,No,1463 York Ave,-2146826259
First On First Deli,Store,No,1756 1st Ave,-2146826259
1773 Express Deli,Store,No,1773 York Ave,-2146826259
Famous Famiglia Pizza,Store,No,686 8th Ave,-2146826259
Sipsteria,Store,No,774 Amsterdam Ave,-2146826259
Forno's,Store,No,62 Welcher Ave,-2146826259
Mimoza Cafe,Store,No,30 Ave Astoria,-2146826259
Euro Food Market Max,Store,No,6855 Forest Ave, Ridgewood, NY 11385,-2146826259
Argiros Market,Store,No,4112 Victory Boulevard,-2146826259
Bradley Bagels,Store,No,310 Bradly Ave,-2146826259
J's Pizza,Store,No,98 7th ave,-2146826259
Tavarez Deli Corporation,Store,No,789 Old Country Rd,-2146826259
V&B Fresh Market,Store,No,1036 McLean Ave, Yonkers, NY 10704,-2146826259
Euro Eatery & Market,Store,No,883 Yonkers Ave, Yonkers, NY 10704,-2146826259
European Fresh Inc,Store,No,951 McLean Ave, Yonkers, NY 10704,-2146826259
Stationary Deli,Store,No,998 McLean Ave,-2146826259
G&G Euro Market & Burek,Store,No,1875 Commerce St, Yorktown Heights, NY 10598,-2146826259
Food Choice Market,Store,No,2224 White Plains Rd,-2146826259
C-Town of Morris Park,Store,No,1859 Bronxdale Ave,-2146826259
Food University,Store,No,2080 White Plains Rd,-2146826259
Peggy's Stationary LLC,Store,No,2216 White Plains Rd,-2146826259
Century Wholesale,Store,No,631 Morris Park Ave,-2146826259
Side By Side Pizza and Burek,Store,No,769 Astor Avenue Allerton,-2146826259
Community Green Market,Store,No,2228 White Plains Rd,-2146826259
ShopRite,Store,No,1960 Deer Pk Ave,-2146826259
J's Gourment Deli,Store,No,1881 McGraw Ave,-2146826259
37 Convenience Deli Market,Store,No,37-02 30th Ave,-2146826259
Besa Meat Market,Store,No,2902 Middletown Rd,-2146826259
Sad Boys Market,Store,No,3042 Buhre Ave,-2146826259
Era - New York,Store,No,589 11th Ave,-2146826259
DVC Vending,Store,No,2 Lawrence St,-2146826259
C - Town International Market,Store,No,34-12 34th Ave,-2146826259
Koha & Brothers Halal Meat Market,Store,No,319 Church Ave,-2146826259
Green Apple Market,Store,No,2187 White Plains Rd,-2146826259
Upper West Candy Grocery,Store,No,2618 Broadway,-2146826259
Jehora Deli Corp,Store,No,900 E Gun Hill Rd,-2146826259
Tomas Cherry Valley,Store,No,801 E Gun Hill Rd,-2146826259
Bronxwood Food Center,Store,No,3600 Bronxwood Ave,-2146826259
3724 Shak Deli,Store,No,3724 Bronxwood Ave,-2146826259
Richmond Bagels & Deli,Store,No,51 Richmond Hill Rd,-2146826259
Homefield Deli & Resturant,Store,No,970 Saw Mill Rd,-2146826259
Shop Fair Foods Warehouse,Store,No,410 W 207th St,-2146826259
Longo's Park Deli,Store,No,203 S Regent St,-2146826259
Platinum Car Wash,Store,No,557 7th Ave,-2146826259
Drinkology NYC,Store,No,43-04 34th Ave,-2146826259
Sunoco Food Mart,Store,No,1499 Route 9,-2146826259
Farm country astoria,Store,No,37-15 31st ave,-2146826259
Bronx Park Convenience & Juice Bar,Store,No,2028 White Plains Rd,-2146826259
Ditmars candy & grocery,Store,No,2805 ditmars Blvd,-2146826259
Gourment Deli Lydig,Store,No,798 Lydig Ave,,-2146826259
Bonavita Market,Store,No,2140 Holland Ave,-2146826259
Plata Grocery,Store,No,31-05 24th Ave,-2146826259
Adyel Deli,Store,No,1403 Bronx River Ave,-2146826259
Lisbeth Food Corporation,Store,No,1702 Watson Ave,-2146826259
United we stand deli,Store,No,814 tenth Ave,-2146826259
Parrot Coffee Market,Store,No,Queens,-2146826259
Frank's Pizzeria,Store,No,2 W Cross St Croton Falls,-2146826259
Automatic Input (Don't edit any of the rows below 🛑)
#N/A

